ID,disableParam_NT,disableParamReserve1,disableParamReserve2,weatherType0,weatherType1,weatherType2,weatherType3,weatherType4,weatherType5,weatherType6,weatherType7,weatherType8,weatherType9,weatherType10,weatherType11,weatherType12,weatherType13,weatherType14,weatherType15,lotteryWeight0,lotteryWeight1,lotteryWeight2,lotteryWeight3,lotteryWeight4,lotteryWeight5,lotteryWeight6,lotteryWeight7,lotteryWeight8,lotteryWeight9,lotteryWeight10,lotteryWeight11,lotteryWeight12,lotteryWeight13,lotteryWeight14,lotteryWeight15,timezoneLimit,timezoneStartHour,timezoneStartMinute,timezoneEndHour,timezoneEndMinute,reserve
0,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
1000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2010,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
2020,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3010,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3020,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3021,0,0,System.Byte[],1,0,10,11,20,21,31,40,41,50,51,60,60,-1,-1,-1,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
3022,0,0,System.Byte[],1,0,10,11,20,21,82,40,41,50,51,60,60,-1,-1,-1,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
4000,1,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
4001,1,0,System.Byte[],1,0,10,11,20,21,30,83,41,50,51,60,60,-1,-1,-1,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
