ID,disableParam_NT,disableParamReserve1,disableParamReserve2,msgId,voiceId,spEffectId0,motionId0,spEffectId1,motionId1,returnPos,reactionId,eventId,msgId_female,voiceId_female,lipSyncStart,lipSyncTime,pad2,timeout,talkAnimationId,isForceDisp,pad3,pad1
100,1,0,System.Byte[],100,2000000,-1,-1,-1,-1,0,-1,-1,200,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
200,1,0,System.Byte[],200,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1400000,1,0,System.Byte[],14000000,-1,-1,-1,-1,-1,0,-1,-1,14000000,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1400010,1,0,System.Byte[],14000100,-1,-1,-1,-1,-1,0,-1,-1,14000100,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1400020,1,0,System.Byte[],14000200,-1,-1,-1,-1,-1,0,-1,-1,14000200,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1400030,1,0,System.Byte[],14000300,-1,-1,-1,-1,-1,0,-1,-1,14000300,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1400040,1,0,System.Byte[],14000400,-1,-1,-1,-1,-1,0,-1,-1,14000400,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1400050,1,0,System.Byte[],14000500,-1,-1,-1,-1,-1,0,-1,-1,14000500,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1400060,1,0,System.Byte[],14000600,-1,-1,-1,-1,-1,0,-1,-1,14000600,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1400080,1,0,System.Byte[],14000800,-1,-1,-1,-1,-1,0,-1,-1,14000800,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1400090,1,0,System.Byte[],14000900,-1,-1,-1,-1,-1,0,-1,-1,14000900,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1500000,1,0,System.Byte[],15000000,-1,-1,-1,-1,-1,0,-1,-1,15000000,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1500010,1,0,System.Byte[],15000100,-1,-1,-1,-1,-1,0,-1,-1,15000100,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1500020,1,0,System.Byte[],15000200,-1,-1,-1,-1,-1,0,-1,-1,15000200,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1500030,1,0,System.Byte[],15000300,-1,-1,-1,-1,-1,0,-1,-1,15000300,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1500040,1,0,System.Byte[],15000400,-1,-1,-1,-1,-1,0,-1,-1,15000400,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1500050,1,0,System.Byte[],15000500,-1,-1,-1,-1,-1,0,-1,-1,15000500,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1500060,1,0,System.Byte[],15000600,-1,-1,-1,-1,-1,0,-1,-1,15000600,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1500070,1,0,System.Byte[],15000700,-1,-1,-1,-1,-1,0,-1,-1,15000700,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
1500080,1,0,System.Byte[],15000800,-1,-1,-1,-1,-1,0,-1,-1,15000800,-1,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2001500,0,0,System.Byte[],20015000,20015000,-1,-1,-1,-1,0,-1,-1,20015001,20015001,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2001510,0,0,System.Byte[],20015100,20015100,-1,-1,-1,-1,0,-1,-1,20015101,20015101,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2001520,0,0,System.Byte[],20015201,20015200,-1,-1,-1,-1,0,-1,-1,20015201,20015201,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2001530,0,0,System.Byte[],20015300,20015300,-1,-1,-1,-1,0,-1,-1,20015300,20015300,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2001900,0,0,System.Byte[],20019000,480000001,-1,-1,-1,-1,0,-1,-1,20019000,480000001,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2003000,0,0,System.Byte[],20030000,20030000,-1,-1,-1,-1,0,-1,-1,20030000,20030000,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2003010,0,0,System.Byte[],20030100,20030100,-1,-1,-1,-1,0,-1,-1,20030100,20030100,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2003020,0,0,System.Byte[],20030200,20030200,-1,-1,-1,-1,0,-1,-1,20030200,20030200,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2003030,0,0,System.Byte[],20030300,20030300,-1,-1,-1,-1,0,-1,-1,20030300,20030300,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2003040,0,0,System.Byte[],20030400,20030400,-1,-1,-1,-1,0,-1,-1,20030400,20030400,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2003050,0,0,System.Byte[],20030500,20030500,-1,-1,-1,-1,0,-1,-1,20030500,20030500,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2003900,0,0,System.Byte[],20039000,480000001,-1,-1,-1,-1,0,-1,-1,20039000,480000001,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2004000,0,0,System.Byte[],20040000,20040000,-1,-1,-1,-1,0,-1,-1,20040000,20040000,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2004010,0,0,System.Byte[],20040100,20040100,-1,-1,-1,-1,0,-1,-1,20040100,20040100,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2004020,0,0,System.Byte[],20040200,20040200,-1,-1,-1,-1,0,-1,-1,20040200,20040200,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2004030,0,0,System.Byte[],20040300,20040300,-1,-1,-1,-1,0,-1,-1,20040300,20040300,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2004040,0,0,System.Byte[],20040400,20040400,-1,-1,-1,-1,0,-1,-1,20040400,20040400,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2004041,0,0,System.Byte[],20040410,20040410,-1,-1,-1,-1,0,-1,-1,20040410,20040410,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2004050,0,0,System.Byte[],20040500,20040500,-1,-1,-1,-1,0,-1,-1,20040500,20040500,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2004060,0,0,System.Byte[],20040600,20040600,-1,-1,-1,-1,0,-1,-1,20040600,20040600,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2004900,0,0,System.Byte[],20049000,480000001,-1,-1,-1,-1,0,-1,-1,20049000,480000001,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2005000,0,0,System.Byte[],20050000,20050000,-1,-1,-1,-1,0,-1,-1,20050000,20050000,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2005001,0,0,System.Byte[],20050010,20050010,-1,-1,-1,-1,0,-1,-1,20050010,20050010,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2005010,0,0,System.Byte[],20050100,20050100,-1,-1,-1,-1,0,-1,-1,20050100,20050100,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2005020,0,0,System.Byte[],20050200,20050200,-1,-1,-1,-1,0,-1,-1,20050200,20050200,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2005030,0,0,System.Byte[],20050300,20050300,-1,-1,-1,-1,0,-1,-1,20050300,20050300,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2005040,0,0,System.Byte[],20050400,20050400,-1,-1,-1,-1,0,-1,-1,20050400,20050400,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2005050,0,0,System.Byte[],20050500,20050500,-1,-1,-1,-1,0,-1,-1,20050500,20050500,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2005060,0,0,System.Byte[],20050600,20050600,-1,-1,-1,-1,0,-1,-1,20050600,20050600,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2005080,0,0,System.Byte[],20050800,20050800,-1,-1,-1,-1,0,-1,-1,20050800,20050800,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2005900,0,0,System.Byte[],20059000,480000001,-1,-1,-1,-1,0,-1,-1,20059000,480000001,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007000,0,0,System.Byte[],20070000,20070000,-1,-1,-1,-1,0,-1,-1,20070000,20070000,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007001,0,0,System.Byte[],20070010,20070010,-1,-1,-1,-1,0,-1,-1,20070010,20070010,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007010,0,0,System.Byte[],20070100,20070100,-1,-1,-1,-1,0,-1,-1,20070100,20070100,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007011,0,0,System.Byte[],20070110,20070110,-1,-1,-1,-1,0,-1,-1,20070110,20070110,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007020,0,0,System.Byte[],20070200,20070200,-1,-1,-1,-1,0,-1,-1,20070200,20070200,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007021,0,0,System.Byte[],20070210,20070210,-1,-1,-1,-1,0,-1,-1,20070210,20070210,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007030,0,0,System.Byte[],20070300,20070300,-1,-1,-1,-1,0,-1,-1,20070300,20070300,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007040,0,0,System.Byte[],20070400,20070400,-1,-1,-1,-1,0,-1,-1,20070400,20070400,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007050,0,0,System.Byte[],20070500,20070500,-1,-1,-1,-1,0,-1,-1,20070500,20070500,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007060,0,0,System.Byte[],20070600,20070600,-1,-1,-1,-1,0,-1,-1,20070600,20070600,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007061,0,0,System.Byte[],20070610,20070610,-1,-1,-1,-1,0,-1,-1,20070610,20070610,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007070,0,0,System.Byte[],20070700,20070700,-1,-1,-1,-1,0,-1,-1,20070700,20070700,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007080,0,0,System.Byte[],20070800,20070800,-1,-1,-1,-1,0,-1,-1,20070800,20070800,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007071,0,0,System.Byte[],20070710,20070710,-1,-1,-1,-1,0,-1,-1,20070710,20070710,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007081,0,0,System.Byte[],20070810,20070810,-1,-1,-1,-1,0,-1,-1,20070810,20070810,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2007900,0,0,System.Byte[],20079000,480000001,-1,-1,-1,-1,0,-1,-1,20079000,480000001,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2008000,0,0,System.Byte[],20080000,20080000,-1,-1,-1,-1,0,-1,-1,20080000,20080000,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2008010,0,0,System.Byte[],20080100,20080100,-1,-1,-1,-1,0,-1,-1,20080100,20080100,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2008020,0,0,System.Byte[],20080200,20080200,-1,-1,-1,-1,0,-1,-1,20080200,20080200,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2008030,0,0,System.Byte[],20080300,20080300,-1,-1,-1,-1,0,-1,-1,20080300,20080300,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2008050,0,0,System.Byte[],20080500,20080500,-1,-1,-1,-1,0,-1,-1,20080500,20080500,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
2008060,0,0,System.Byte[],20080600,20080600,-1,-1,-1,-1,0,-1,-1,20080600,20080600,-1,-1,System.Byte[],-1,-1,0,0,System.Byte[]
