ID,regionType,category,padding1,dummyPoly1,dummyPoly2,radius,angle,depth,width,height,baseHeightOffset,angleCheckType,padding2,allowAngle,spotDummyPoly,textBoxType,padding3,padding5,isInvalidForRide,isGrayoutForRide,isInvalidForCrouching,isGrayoutForCrouching,padding4,textId,invalidFlag,grayoutFlag,overrideActionButtonIdForRide,execInvalidTime,padding6
0,0,0,System.Byte[],1,1,1,1,1,1,1,1,0,System.Byte[],1,-1,0,System.Byte[],0,0,0,0,0,0,-1,1,1,-1,1,System.Byte[]
1,0,0,System.Byte[],-1,-1,0,180,0,0,0,0,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,-1,0,0,-1,0,System.Byte[]
1000,0,0,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,50000200,0,0,-1,3,System.Byte[]
1010,0,0,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,50000205,0,0,-1,3,System.Byte[]
1020,0,8,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,50000100,0,0,-1,3,System.Byte[]
1050,0,5,System.Byte[],-1,-1,1.5,180,0,0,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,1850,201,0,-1,3,System.Byte[]
1100,0,12,System.Byte[],-1,-1,0,180,0,0,0,0,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,8100,0,0,-1,3,System.Byte[]
2000,0,7,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,50000000,0,0,-1,3,System.Byte[]
2001,0,7,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,50000001,0,0,-1,3,System.Byte[]
2010,0,6,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,50000400,0,0,-1,3,System.Byte[]
3000,0,10,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,50000210,0,0,-1,3,System.Byte[]
3010,0,9,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,50000500,0,0,-1,3,System.Byte[]
3020,0,10,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,50000210,0,0,-1,3,System.Byte[]
4000,0,3,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2000,0,0,-1,0,System.Byte[]
4100,0,2,System.Byte[],-1,-1,1.5,180,0,0,2.4,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2010,0,0,-1,0,System.Byte[]
4110,0,2,System.Byte[],-1,-1,1.5,180,0,0,2.4,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2000,0,0,-1,0,System.Byte[]
4200,0,2,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,90,0,System.Byte[],0,0,0,0,0,0,2020,0,0,-1,0,System.Byte[]
4250,0,2,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,90,0,System.Byte[],0,0,0,0,0,0,2000,0,0,-1,0,System.Byte[]
4251,0,2,System.Byte[],-1,-1,1.5,180,0,0,2,-1.25,0,System.Byte[],180,90,0,System.Byte[],0,0,0,0,0,0,2000,0,0,-1,0,System.Byte[]
4252,0,2,System.Byte[],-1,-1,2,180,0,0,2,-2.5,0,System.Byte[],180,90,0,System.Byte[],0,0,0,0,0,0,2000,0,0,-1,0,System.Byte[]
4260,0,2,System.Byte[],90,-1,2,180,0,0,2,-1.25,0,System.Byte[],60,90,0,System.Byte[],0,0,0,0,0,0,2000,0,0,-1,0,System.Byte[]
4300,0,2,System.Byte[],-1,-1,1.5,180,0,0,1,-0.25,0,System.Byte[],180,90,0,System.Byte[],0,0,0,0,0,0,2030,0,0,-1,0,System.Byte[]
4350,0,2,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2000,0,0,-1,0,System.Byte[]
4400,0,1,System.Byte[],-1,-1,1.5,180,0,0,1,-0.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2100,0,0,-1,3,System.Byte[]
5000,0,5,System.Byte[],195,-1,1.5,90,0,0,0.5,-0.25,0,System.Byte[],45,-1,0,System.Byte[],0,0,1,0,1,0,3300,0,0,-1,3,System.Byte[]
5010,0,5,System.Byte[],194,-1,1.5,90,0,0,0.5,-0.25,0,System.Byte[],45,-1,0,System.Byte[],0,0,1,0,1,0,3301,0,0,-1,3,System.Byte[]
6000,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,0,0,0,0,7000,0,0,-1,3,System.Byte[]
6001,0,11,System.Byte[],-1,-1,1.2,180,0,0,1,-0.25,0,System.Byte[],90,-1,0,System.Byte[],0,0,0,0,0,0,7000,0,0,-1,0,System.Byte[]
6100,0,5,System.Byte[],-1,-1,1.5,180,0,0,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,1800,0,0,-1,3,System.Byte[]
