ID,a000_leftArmFB,a000_leftWristFB,a000_leftWristIO,a002_leftArmFB,a002_leftWristFB,a002_leftWristIO,a003_leftArmFB,a003_leftWristFB,a003_leftWristIO,pad
0,0,0,0,0,0,0,0,0,0,System.Byte[]
1,-10,25,5,-10,25,5,-10,25,5,System.Byte[]
3,0,0,0,0,0,0,0,0,0,System.Byte[]
4,-5,15,10,-5,15,10,-5,15,10,System.Byte[]
5,15,-32,15,15,-32,15,15,-32,15,System.Byte[]
6,-10,35,0,-10,35,0,-10,35,0,System.Byte[]
100,0,0,0,0,0,0,0,0,0,System.Byte[]
101,0,0,0,0,0,0,0,0,0,System.Byte[]
103,0,0,0,0,0,0,0,0,0,System.Byte[]
104,0,0,0,0,0,0,0,0,0,System.Byte[]
105,0,0,0,0,0,0,0,0,0,System.Byte[]
106,0,0,0,0,0,0,0,0,0,System.Byte[]
200,0,0,0,0,0,0,0,0,0,System.Byte[]
201,-10,25,5,-10,25,5,-10,25,5,System.Byte[]
203,-20,60,-20,-20,60,-20,-20,60,-20,System.Byte[]
204,10,-6,10,10,-6,10,10,-6,10,System.Byte[]
205,15,-32,15,15,-32,15,15,-32,15,System.Byte[]
206,-10,35,0,-10,35,0,-10,35,0,System.Byte[]
