ID,moveDir,key1,key2,key3,bMoveDirHold,bKeyHold1,bKeyHold2,bKeyHold3,gestureId,bLifeEndSuccess,pad1
0,0,8,0,0,0,0,0,0,0,0,System.Byte[]
1,0,8,0,0,0,1,0,0,0,1,System.Byte[]
2,0,9,0,0,0,0,0,0,0,0,System.Byte[]
3,0,9,0,0,0,1,0,0,0,1,System.Byte[]
4,0,5,0,0,0,0,0,0,0,0,System.Byte[]
6,0,5,0,0,0,1,0,0,0,1,System.Byte[]
7,0,6,0,0,0,0,0,0,0,0,System.Byte[]
8,0,6,0,0,0,1,0,0,0,1,System.Byte[]
10,1,8,18,0,0,0,0,0,0,0,System.Byte[]
11,1,9,19,0,0,0,0,0,0,0,System.Byte[]
12,0,11,0,0,0,0,0,0,0,0,System.Byte[]
13,0,3,0,0,0,0,0,0,0,0,System.Byte[]
14,0,4,0,0,0,0,0,0,0,0,System.Byte[]
15,0,16,0,0,0,0,0,0,0,0,System.Byte[]
16,0,12,0,0,0,0,0,0,0,0,System.Byte[]
17,0,13,0,0,0,0,0,0,0,0,System.Byte[]
18,1,0,0,0,1,0,0,0,0,0,System.Byte[]
19,2,0,0,0,1,0,0,0,0,0,System.Byte[]
20,3,0,0,0,1,0,0,0,0,0,System.Byte[]
21,4,0,0,0,1,0,0,0,0,0,System.Byte[]
22,5,0,0,0,1,0,0,0,0,0,System.Byte[]
23,6,0,0,0,1,0,0,0,0,0,System.Byte[]
24,7,0,0,0,1,0,0,0,0,0,System.Byte[]
25,8,0,0,0,1,0,0,0,0,0,System.Byte[]
26,1,5,0,0,1,1,0,0,0,0,System.Byte[]
27,2,5,0,0,1,1,0,0,0,0,System.Byte[]
28,3,5,0,0,1,1,0,0,0,0,System.Byte[]
29,4,5,0,0,1,1,0,0,0,0,System.Byte[]
30,5,5,0,0,1,1,0,0,0,0,System.Byte[]
31,6,5,0,0,1,1,0,0,0,0,System.Byte[]
32,7,5,0,0,1,1,0,0,0,0,System.Byte[]
33,8,5,0,0,1,1,0,0,0,0,System.Byte[]
34,1,15,0,0,1,1,0,0,0,0,System.Byte[]
35,1,15,5,0,1,1,1,0,0,0,System.Byte[]
36,1,17,0,0,1,0,0,0,0,0,System.Byte[]
37,2,17,0,0,1,0,0,0,0,0,System.Byte[]
38,3,17,0,0,1,0,0,0,0,0,System.Byte[]
39,4,17,0,0,1,0,0,0,0,0,System.Byte[]
40,5,17,0,0,1,0,0,0,0,0,System.Byte[]
41,6,17,0,0,1,0,0,0,0,0,System.Byte[]
42,7,17,0,0,1,0,0,0,0,0,System.Byte[]
43,8,17,0,0,1,0,0,0,0,0,System.Byte[]
48,0,6,8,0,0,0,0,0,0,0,System.Byte[]
49,0,6,9,0,0,0,0,0,0,0,System.Byte[]
50,1,6,0,0,1,0,0,0,0,0,System.Byte[]
51,2,6,0,0,1,0,0,0,0,0,System.Byte[]
52,3,6,0,0,1,0,0,0,0,0,System.Byte[]
53,4,6,0,0,1,0,0,0,0,0,System.Byte[]
